PARTICLE DATA
-------------
DATA CARDS MUST START IMMEDIATELY AFTER $PRBEG CARD
READING STOPS WHEN CARD WITH ISA ID = 9999 IS FOUND
READING FORMAT: (2I8,2X,A8,F6.2,3F11.5,F14.5)
UNDEFINED MASSES OF HADRONS (I.E. LEFT BLANK) ARE SET EQUAL TO:
      SUM OF QUARK MASSES -.03 + .04*JSPIN
 
  ISA ID  PDG ID  LABEL   CHARGE       MASS      WIDTH      W-CUT   C*LIFET(MM)
 
$PRBEG
   -3450   -5432  ASCB.      .00    6.97000     .00000     .00000        .00000
    4350    5342  CSB.       .00    6.97000     .00000     .00000        .00000
   -4350   -5342  ACSB.      .00    6.97000     .00000     .00000        .00000
    4450    5442  CCB.      1.00    8.07000     .00000     .00000        .00000
   -4450   -5442  ACCB.    -1.00    8.07000     .00000     .00000        .00000
    1550    5522  UBB.       .00   10.07000     .00000     .00000        .00000
   -1550   -5522  AUBB.      .00   10.07000     .00000     .00000        .00000
    2550    5512  DBB.     -1.00   10.07000     .00000     .00000        .00000
   -2550   -5512  ADBB.     1.00   10.07000     .00000     .00000        .00000
    3550    5532  SBB.     -1.00   10.27000     .00000     .00000        .00000
   -3550   -5532  ASBB.     1.00   10.27000     .00000     .00000        .00000
    4550    5542  CBB.       .00   11.37000     .00000     .00000        .00000
   -4550   -5542  ACBB.      .00   11.37000     .00000     .00000        .00000
    1160    6222  UTT.      2.00                .00000     .00000        .00000
   -1160   -6222  AUTT.    -2.00                .00000     .00000        .00000
    1260    6212  UDT.      1.00                .00000     .00000        .00000
   -1260   -6212  AUDT.    -1.00                .00000     .00000        .00000
    2160    6122  DUT.      1.00                .00000     .00000        .00000
   -2160   -6122  ADUT.    -1.00                .00000     .00000        .00000
    2260    6112  DDT.       .00                .00000     .00000        .00000
   -2260   -6112  ADDT.      .00                .00000     .00000        .00000
    1360    6322  UST.      1.00                .00000     .00000        .00000
   -1360   -6322  AUST.    -1.00                .00000     .00000        .00000
    3160    6232  SUT.      1.00                .00000     .00000        .00000
   -3160   -6232  ASUT.    -1.00                .00000     .00000        .00000
    2360    6312  DST.       .00                .00000     .00000        .00000
   -2360   -6312  ADST.      .00                .00000     .00000        .00000
    3260    6132  SDT.       .00                .00000     .00000        .00000
   -3260   -6132  ASDT.      .00                .00000     .00000        .00000
    3360    6332  SST.       .00                .00000     .00000        .00000
   -3360   -6332  ASST.      .00                .00000     .00000        .00000
    1460    6422  UCT.      2.00                .00000     .00000        .00000
   -1460   -6422  AUCT.    -2.00                .00000     .00000        .00000
    4160    6242  CUT.      2.00                .00000     .00000        .00000
   -4160   -6242  ACUT.    -2.00                .00000     .00000        .00000
    2460    6412  DCT.      1.00                .00000     .00000        .00000
   -2460   -6412  ADCT.    -1.00                .00000     .00000        .00000
    4260    6142  CDT.      1.00                .00000     .00000        .00000
   -4260   -6142  ACDT.    -1.00                .00000     .00000        .00000
    3460    6432  SCT.      1.00                .00000     .00000        .00000
   -3460   -6432  ASCT.    -1.00                .00000     .00000        .00000
    4360    6342  CST.      1.00                .00000     .00000        .00000
   -4360   -6342  ACST.    -1.00                .00000     .00000        .00000
    4460    6442  CCT.      2.00                .00000     .00000        .00000
   -4460   -6442  ACCT.    -2.00                .00000     .00000        .00000
    1560    6522  UBT.      1.00                .00000     .00000        .00000
   -1560   -6522  AUBT.    -1.00                .00000     .00000        .00000
    5160    6252  BUT.      1.00                .00000     .00000        .00000
   -5160   -6252  ABUT.    -1.00                .00000     .00000        .00000
    2560    6512  DBT.       .00                .00000     .00000        .00000
   -2560   -6512  ADBT.      .00                .00000     .00000        .00000
    5260    6152  BDT.       .00                .00000     .00000        .00000
   -5260   -6152  ABDT.      .00                .00000     .00000        .00000
    3560    6532  SBT.       .00                .00000     .00000        .00000
   -3560   -6532  ASBT.      .00                .00000     .00000        .00000
    5360    6352  BST.       .00                .00000     .00000        .00000
   -5360   -6352  ABST.      .00                .00000     .00000        .00000
    4560    6542  CBT.      1.00                .00000     .00000        .00000
   -4560   -6542  ACBT.    -1.00                .00000     .00000        .00000
    5460    6452  BCT.      1.00                .00000     .00000        .00000
   -5460   -6452  ABCT.    -1.00                .00000     .00000        .00000
    5560    6552  BBT.       .00                .00000     .00000        .00000
   -5560   -6552  ABBT.      .00                .00000     .00000        .00000
    1660    6622  UTT.      2.00                .00000     .00000        .00000
   -1660   -6622  AUTT.    -2.00                .00000     .00000        .00000
    2660    6612  DTT.      1.00                .00000     .00000        .00000
   -2660   -6612  ADTT.    -1.00                .00000     .00000        .00000
    3660    6632  STT.      1.00                .00000     .00000        .00000
   -3660   -6632  ASTT.    -1.00                .00000     .00000        .00000
    4660    6642  CTT.      2.00                .00000     .00000        .00000
   -4660   -6642  ACTT.    -2.00                .00000     .00000        .00000
    5660    6652  BTT.      1.00                .00000     .00000        .00000
   -5660   -6652  ABTT.    -1.00                .00000     .00000        .00000
 
    1111    2224  DL++      2.00    1.23100     .11500     .14000        .00000
   -1111   -2224  ADL--    -2.00    1.23100     .11500     .14000        .00000
    1121    2214  DL+       1.00    1.23200     .11500     .14000        .00000
   -1121   -2214  ADL-     -1.00    1.23200     .11500     .14000        .00000
    1221    2114  DL0        .00    1.23300     .11500     .14000        .00000
   -1221   -2114  ADL0       .00    1.23300     .11500     .14000        .00000
    2221    1114  DL-      -1.00    1.23400     .11500     .14000        .00000
   -2221   -1114  ADL+      1.00    1.23400     .11500     .14000        .00000
    1131    3224  S*+       1.00    1.38280     .03600     .03500        .00000
   -1131   -3224  AS*-     -1.00    1.38280     .03600     .03500        .00000
    1231    3214  S*0        .00    1.38370     .03600     .03500        .00000
   -1231   -3214  AS*0       .00    1.38370     .03600     .03500        .00000
    2231    3114  S*-      -1.00    1.38720     .03900     .04000        .00000
   -2231   -3114  AS*+      1.00    1.38720     .03900     .04000        .00000
    1331    3324  XI*0       .00    1.53180     .00910     .05000        .00000
   -1331   -3324  AXI*0      .00    1.53180     .00910     .05000        .00000
    2331    3314  XI*-     -1.00    1.53500     .00990     .05000        .00000
   -2331   -3314  AXI*+     1.00    1.53500     .00990     .05000        .00000
    3331    3334  OM-      -1.00    1.67240     .00000     .00000      24.60000
   -3331   -3334  AOM+      1.00    1.67240     .00000     .00000      24.60000
    1141    4224  UUC*      2.00    2.50000     .00000     .00000        .00000
   -1141   -4224  AUUC*    -2.00    2.50000     .00000     .00000        .00000
    1241    4214  UDC*      1.00    2.50000     .00000     .00000        .00000
   -1241   -4214  AUDC*    -1.00    2.50000     .00000     .00000        .00000
    2241    4114  DDC*       .00    2.50000     .00000     .00000        .00000
   -2241   -4114  ADDC*      .00    2.50000     .00000     .00000        .00000
    1341    4324  USC*      1.00    2.63000     .00000     .00000        .00000
   -1341   -4324  AUSC*    -1.00    2.63000     .00000     .00000        .00000
    2341    4314  DSC*       .00    2.63000     .00000     .00000        .00000
   -2341   -4314  ADSC*      .00    2.63000     .00000     .00000        .00000
    3341    4334  SSC*       .00    2.80000     .00000     .00000        .00000
   -3341   -4334  ASSC*      .00    2.80000     .00000     .00000        .00000
    1441    4424  UCC*      2.00    3.75000     .00000     .00000        .00000
   -1441   -4424  AUCC*    -2.00    3.75000     .00000     .00000        .00000
    2441    4414  DCC*      1.00    3.75000     .00000     .00000        .00000
   -2441   -4414  ADCC*    -1.00    3.75000     .00000     .00000        .00000
    3441    4434  SCC*      1.00    3.90000     .00000     .00000        .00000
   -3441   -4434  ASCC*    -1.00    3.90000     .00000     .00000        .00000
    4441    4444  CCC*      2.00    4.80000     .00000     .00000        .00000
   -4441   -4444  ACCC*    -2.00    4.80000     .00000     .00000        .00000
    1151    5224  UUB*      1.00    5.81000     .00000     .00000        .00000
   -1151   -5224  AUUB*    -1.00    5.81000     .00000     .00000        .00000
